2026-08-12 02:41:53 startup archives install
2026-08-12 02:41:53 install base-passwd:amd64 <none> 3.6.7
2026-08-12 02:41:53 status half-installed base-passwd:amd64 3.6.7
2026-08-12 02:41:53 status unpacked base-passwd:amd64 3.6.7
2026-08-12 02:41:53 configure base-passwd:amd64 3.6.7 3.6.7
2026-08-12 02:41:53 status half-configured base-passwd:amd64 3.6.7
2026-08-12 02:41:53 status installed base-passwd:amd64 3.6.7
2026-08-12 02:41:53 startup archives install
2026-08-12 02:41:53 install base-files:amd64 <none> 13.8+deb13u6
2026-08-12 02:41:53 status half-installed base-files:amd64 13.8+deb13u6
2026-08-12 02:41:53 status unpacked base-files:amd64 13.8+deb13u6
2026-08-12 02:41:53 configure base-files:amd64 13.8+deb13u6 13.8+deb13u6
2026-08-12 02:41:53 status half-configured base-files:amd64 13.8+deb13u6
2026-08-12 02:41:53 status installed base-files:amd64 13.8+deb13u6
2026-08-12 02:41:53 startup archives install
2026-08-12 02:41:53 upgrade dpkg 1.22.22 1.22.22
2026-08-12 02:41:53 status half-configured dpkg 1.22.22
2026-08-12 02:41:53 status unpacked dpkg 1.22.22
2026-08-12 02:41:53 status half-installed dpkg 1.22.22
2026-08-12 02:41:53 status unpacked dpkg:amd64 1.22.22
2026-08-12 02:41:53 configure dpkg:amd64 1.22.22 1.22.22
2026-08-12 02:41:53 status half-configured dpkg:amd64 1.22.22
2026-08-12 02:41:53 status installed dpkg:amd64 1.22.22
2026-08-12 02:41:53 startup archives install
2026-08-12 02:41:54 install libc6:amd64 <none> 2.41-12+deb13u3
2026-08-12 02:41:54 status half-installed libc6:amd64 2.41-12+deb13u3
2026-08-12 02:41:54 status unpacked libc6:amd64 2.41-12+deb13u3
2026-08-12 02:41:54 configure libc6:amd64 2.41-12+deb13u3 2.41-12+deb13u3
2026-08-12 02:41:54 status half-configured libc6:amd64 2.41-12+deb13u3
2026-08-12 02:41:54 status installed libc6:amd64 2.41-12+deb13u3
2026-08-12 02:41:54 startup archives install
2026-08-12 02:41:54 install perl-base:amd64 <none> 5.40.1-6
2026-08-12 02:41:54 status half-installed perl-base:amd64 5.40.1-6
2026-08-12 02:41:54 status unpacked perl-base:amd64 5.40.1-6
2026-08-12 02:41:54 configure perl-base:amd64 5.40.1-6 5.40.1-6
2026-08-12 02:41:54 status half-configured perl-base:amd64 5.40.1-6
2026-08-12 02:41:54 status installed perl-base:amd64 5.40.1-6
2026-08-12 02:41:54 startup archives install
2026-08-12 02:41:54 install mawk:amd64 <none> 1.3.4.20250131-1
2026-08-12 02:41:54 status half-installed mawk:amd64 1.3.4.20250131-1
2026-08-12 02:41:54 status unpacked mawk:amd64 1.3.4.20250131-1
2026-08-12 02:41:54 configure mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
